NU_ANO_CENSO,SG_UF_IES,NO_MUNICIPIO_IES,TP_ORGANIZACAO_ACADEMICA,TP_REDE,CO_IES,NO_IES,SG_UF,NO_MUNICIPIO,NO_CURSO,CO_CURSO,NO_CINE_ROTULO,NO_CINE_AREA_ESPECIFICA,TP_GRAU_ACADEMICO,IN_GRATUITO,TP_MODALIDADE_ENSINO,QT_VG_TOTAL,QT_INSCRITO_TOTAL,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Código IES,CC,Ano CC,CPC,Ano CPC,ENADE,Ano ENADE,IDD,Ano IDD,Vagas Autorizadas,Situação
2023,RJ,Rio de Janeiro,1,2,163,UNIVERSIDADE ESTÁCIO DE SÁ,GO,Goianésia,Gestão Pública,1175191,Gestão pública,Negócios e administração,3.0,0,2,0,0,5,2024.0,5,2019.0,3,2022.0,163.0,4,2013.0,4,2018.0,3,2018.0,3,2018.0,1672.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,SP,Ituverava,Gestão Hospitalar,1485629,Gestão hospitalar,Negócios e administração,3.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,-,,-,,-,,300.0,Em Atividade
2023,RJ,Rio de Janeiro,1,2,163,UNIVERSIDADE ESTÁCIO DE SÁ,GO,Alto Paraíso de Goiás,Segurança No Trabalho,1487702,Segurança no trabalho,Higiene e serviços de saúde ocupacional,3.0,0,2,0,0,5,2024.0,5,2019.0,3,2022.0,163.0,-,,-,,-,,-,,1757.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,ES,São Gabriel da Palha,Física,1404045,Física formação de professor,Educação,2.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,5,2022.0,-,,-,,-,,100.0,Em Atividade
2023,SP,São Paulo,1,2,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,SP,Jundiaí,Gestão De Recursos Humanos,1367207,Gestão de pessoas,Negócios e administração,3.0,0,2,0,0,5,2023.0,5,2015.0,4,2022.0,22.0,5,2019.0,3,2018.0,3,2018.0,2,2018.0,1080.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,MG,Guanhães,Letras - Português,1382689,Letras português formação de professor,Educação,2.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,5,2019.0,-,,-,,-,,120.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,MG,Monte Carmelo,Análise E Desenvolvimento De Sistemas,1517424,Sistemas de informação,Computação e Tecnologias da Informação e Comunicação (TIC),3.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,-,,-,,-,,300.0,Em Atividade
2023,SP,São Paulo,1,2,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,RJ,Rio de Janeiro,Ciência De Dados,1595446,Ciência de dados,Computação e Tecnologias da Informação e Comunicação (TIC),3.0,0,2,0,0,5,2023.0,5,2015.0,4,2022.0,22.0,-,,-,,-,,-,,1500.0,Em Atividade
2023,SP,Batatais,2,2,135,Claretiano - Centro Universitário,,,Gestão Da Tecnologia Da Informação,115902,Gestão da tecnologia da informação,Computação e Tecnologias da Informação e Comunicação (TIC),3.0,0,2,655,76,5,2018.0,5,2023.0,3,2022.0,135.0,-,,3,2017.0,4,2017.0,2,2017.0,231.0,Em Atividade
2023,RS,São Leopoldo,1,2,14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,RS,Santa Maria,Ciências Contábeis,1115224,Contabilidade,Negócios e administração,1.0,0,2,0,0,5,2023.0,5,2019.0,4,2022.0,14.0,5,2013.0,4,2018.0,4,2018.0,SC,2018.0,1060.0,Em Atividade
